BOOT
frequency=50Hz
3xAD7177 test start
{text}b1_nT,b2_nT,b3_nT,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,stm32_roll_deg,stm32_pitch_deg,vertical_raw_nT,vertical_corr_nT
{plotter}19730.255859,13914.389648,-27896.392578,0.057495,-0.002930,0.474976,0.045802,-0.045802,-0.045802,-0.427643,-6.658114,-25523.013672,-25506.970703
{plotter}19724.900391,13917.301758,-27896.580078,0.055908,-0.003174,0.473633,0.076336,-0.015267,0.015267,-0.424447,-6.661313,-25521.808594,-25505.810547
{plotter}19730.582031,13912.247070,-27888.697266,0.055176,-0.003296,0.477173,-0.122137,-0.061069,-0.015267,-0.425747,-6.659852,-25514.173828,-25504.099609
{plotter}19723.126953,13915.769531,-27892.427734,0.056641,-0.003540,0.475220,-0.015267,0.000000,-0.061069,-0.425992,-6.665278,-25516.664062,-25502.673828
{plotter}19727.123047,13913.823242,-27896.201172,0.053467,-0.006104,0.475830,-0.015267,-0.030534,0.030534,-0.438772,-6.655641,-25526.810547,-25502.115234
{plotter}19736.195312,13917.971680,-27897.357422,0.054932,-0.003052,0.474976,-0.015267,-0.045802,0.000000,-0.436292,-6.654146,-25526.949219,-25501.587891
{plotter}19728.634766,13913.083008,-27893.314453,0.055664,-0.003174,0.473022,0.015267,-0.015267,0.015267,-0.433988,-6.656677,-25522.216797,-25500.714844
{plotter}19728.222656,13919.964844,-27897.218750,0.056152,-0.003418,0.479858,0.045802,-0.061069,-0.015267,-0.432043,-6.658536,-25524.988281,-25500.095703
{plotter}19728.546875,13918.066406,-27891.492188,0.054199,-0.003662,0.478882,0.030534,-0.091603,-0.045802,-0.431613,-6.652248,-25521.654297,-25499.250000
{plotter}19732.324219,13916.680664,-27892.828125,0.053345,-0.004395,0.473999,-0.091603,0.015267,-0.061069,-0.437327,-6.642631,-25527.722656,-25498.908203
{plotter}19725.996094,13917.710938,-27899.968750,0.056641,-0.003052,0.475342,0.000000,-0.015267,0.091603,-0.434802,-6.648954,-25532.437500,-25498.935547
{plotter}19729.681641,13916.256836,-27897.933594,0.055176,-0.003540,0.476440,-0.045802,0.015267,-0.106870,-0.435144,-6.646870,-25530.890625,-25498.839844
{plotter}19724.707031,13919.912109,-27898.052734,0.055786,-0.006104,0.474243,0.061069,-0.061069,0.091603,-0.446266,-6.650476,-25532.814453,-25498.890625
{plotter}19728.130859,13919.411133,-27893.384766,0.053101,-0.003540,0.478516,0.000000,0.000000,0.000000,-0.445410,-6.637669,-25532.677734,-25498.921875
{plotter}19729.234375,13921.944336,-27899.437500,0.056641,-0.003296,0.476685,-0.015267,-0.015267,0.030534,-0.443857,-6.643438,-25535.916016,-25499.187500
{plotter}19727.941406,13918.833008,-27901.529297,0.055420,-0.003296,0.475464,0.030534,0.000000,0.045802,-0.441526,-6.643555,-25537.519531,-25499.556641
{plotter}19731.619141,13919.053711,-27900.417969,0.057495,-0.003418,0.477295,-0.076336,-0.015267,-0.076336,-0.441666,-6.652808,-25532.335938,-25499.519531
{plotter}19727.376953,13916.089844,-27896.791016,0.057739,-0.001709,0.478516,-0.015267,-0.015267,-0.030534,-0.432461,-6.662149,-25523.291016,-25498.814453
{plotter}19729.195312,13917.576172,-27899.933594,0.054688,-0.003296,0.477295,-0.015267,-0.030534,-0.061069,-0.431189,-6.657661,-25527.701172,-25498.468750
{plotter}19731.419922,13924.048828,-27905.269531,0.055298,-0.005005,0.478149,-0.106870,0.000000,0.000000,-0.440104,-6.655152,-25535.910156,-25498.744141
{plotter}19732.298828,13914.939453,-27899.128906,0.054443,-0.003784,0.478027,-0.015267,-0.045802,0.045802,-0.441091,-6.649678,-25532.056641,-25498.724609
{plotter}19728.626953,13916.236328,-27900.585938,0.056763,-0.004150,0.476074,-0.091603,-0.030534,0.030534,-0.445364,-6.656191,-25532.355469,-25498.728516
{plotter}19733.837891,13913.309570,-27899.244141,0.056274,-0.002197,0.478516,-0.045802,-0.030534,0.000000,-0.439022,-6.658775,-25527.859375,-25498.404297
{plotter}19728.978516,13917.827148,-27899.753906,0.053223,-0.001343,0.477417,-0.122137,-0.030534,0.000000,-0.430373,-6.647409,-25531.441406,-25498.361328
{plotter}19729.648438,13917.529297,-27899.533203,0.056274,-0.002808,0.475220,-0.152672,0.030534,0.000000,-0.429777,-6.650963,-25529.583984,-25498.185547
{plotter}19732.830078,13919.106445,-27904.552734,0.058228,-0.004272,0.481689,-0.091603,-0.030534,0.015267,-0.434804,-6.661157,-25531.341797,-25498.150391
{plotter}19728.521484,13916.794922,-27899.707031,0.054077,-0.004028,0.479126,-0.076336,0.030534,0.030534,-0.438301,-6.651597,-25531.652344,-25498.142578
{plotter}19730.826172,13925.578125,-27899.339844,0.054565,-0.003540,0.478027,-0.167939,0.045802,-0.045802,-0.441011,-6.645029,-25534.351562,-25498.337891
{plotter}19738.345703,13920.161133,-27893.484375,0.057983,-0.001587,0.473755,-0.167939,0.015267,0.000000,-0.434427,-6.657967,-25520.900391,-25497.548828
{plotter}19737.189453,13926.133789,-27896.431641,0.056396,-0.004028,0.476318,-0.152672,-0.045802,0.061069,-0.439640,-6.662575,-25523.408203,-25496.984375
{plotter}19736.501953,13925.845703,-27898.105469,0.057007,-0.005127,0.481689,-0.106870,0.045802,0.015267,-0.448628,-6.665049,-25526.298828,-25496.662109
{plotter}19739.507812,13923.516602,-27897.798828,0.052979,-0.002441,0.475342,-0.091603,-0.015267,-0.045802,-0.444183,-6.653071,-25529.345703,-25496.582031
{plotter}19734.980469,13919.503906,-27895.179688,0.053833,-0.001831,0.474121,-0.015267,0.030534,-0.076336,-0.435397,-6.645394,-25528.214844,-25496.433594
{plotter}19737.476562,13922.445312,-27892.822266,0.055420,-0.001465,0.472656,-0.045802,-0.076336,0.030534,-0.426078,-6.648531,-25522.138672,-25495.861328
{plotter}19738.677734,13924.652344,-27896.375000,0.054321,-0.002197,0.478760,0.045802,-0.091603,0.015267,-0.418677,-6.643276,-25525.880859,-25495.593750
{plotter}19741.437500,13921.693359,-27895.634766,0.056152,-0.002075,0.478516,-0.015267,-0.015267,0.045802,-0.412286,-6.645485,-25522.404297,-25495.093750
{plotter}19738.650391,13926.443359,-27896.478516,0.060791,-0.005249,0.474487,-0.030534,-0.045802,-0.061069,-0.421608,-6.672542,-25515.025391,-25494.093750
{plotter}19738.257812,13926.329102,-27892.392578,0.055542,-0.005371,0.474243,0.000000,0.000000,-0.045802,-0.430596,-6.672757,-25513.062500,-25493.011719
{plotter}19736.927734,13927.489258,-27893.207031,0.054199,-0.002441,0.478149,-0.030534,-0.030534,-0.061069,-0.425545,-6.665072,-25515.898438,-25492.195312
{plotter}19740.386719,13925.120117,-27896.005859,0.055542,-0.002075,0.479004,0.045802,-0.061069,0.061069,-0.417683,-6.664172,-25516.748047,-25491.490234
{plotter}19743.671875,13928.387695,-27897.550781,0.055908,-0.004150,0.480347,0.000000,-0.030534,-0.045802,-0.420676,-6.663693,-25518.830078,-25490.984375
{plotter}19739.281250,13925.345703,-27895.941406,0.057007,-0.005005,0.475586,-0.030534,-0.015267,-0.015267,-0.428544,-6.670776,-25516.763672,-25490.369141
{plotter}19734.984375,13922.332031,-27891.195312,0.055664,-0.004150,0.477783,0.045802,0.030534,-0.030534,-0.430328,-6.669069,-25513.630859,-25489.572266
{plotter}19729.355469,13921.291016,-27891.070312,0.056519,-0.005005,0.475464,0.000000,-0.045802,0.015267,-0.437280,-6.674290,-25513.722656,-25488.832031
{plotter}19737.947266,13925.508789,-27895.929688,0.057251,-0.004517,0.476929,0.000000,-0.045802,-0.045802,-0.441392,-6.681962,-25515.498047,-25488.271484
{plotter}19737.648438,13926.205078,-27898.097656,0.053589,-0.003784,0.474854,0.015267,0.045802,0.030534,-0.441773,-6.671233,-25522.062500,-25488.230469
{plotter}19733.433594,13918.707031,-27895.287109,0.057007,-0.000488,0.474976,0.030534,-0.091603,-0.030534,-0.425789,-6.679908,-25512.447266,-25487.515625
{plotter}19731.007812,13927.265625,-27898.871094,0.058594,-0.003662,0.477173,0.076336,-0.091603,-0.015267,-0.424793,-6.694485,-25510.300781,-25486.695312
{plotter}19737.712891,13924.582031,-27893.083984,0.052856,-0.003540,0.472534,-0.015267,0.015267,0.030534,-0.425355,-6.681609,-25509.023438,-25485.839844
{plotter}19734.386719,13921.621094,-27895.087891,0.055664,-0.001953,0.477783,-0.030534,0.030534,0.030534,-0.418397,-6.679467,-25510.578125,-25485.156250
{plotter}19734.152344,13928.488281,-27897.613281,0.055786,-0.005981,0.477539,-0.061069,0.030534,-0.030534,-0.431522,-6.678113,-25516.824219,-25484.974609
{plotter}19737.505859,13928.991211,-27894.863281,0.053711,-0.002319,0.479492,-0.015267,-0.015267,-0.045802,-0.425547,-6.666879,-25516.765625,-25484.818359
{plotter}19741.087891,13923.040039,-27895.164062,0.053101,-0.004883,0.476685,0.030534,0.030534,-0.045802,-0.431293,-6.653765,-25523.205078,-25485.158203
{plotter}19744.351562,13919.809570,-27891.253906,0.055664,-0.004761,0.477051,-0.045802,-0.015267,0.030534,-0.437906,-6.654042,-25520.378906,-25485.300781
{plotter}19738.890625,13924.258789,-27898.421875,0.056274,-0.001953,0.478638,0.015267,-0.045802,0.045802,-0.429550,-6.656936,-25525.025391,-25485.792969
{plotter}19740.230469,13920.762695,-27901.128906,0.053711,0.000488,0.478882,-0.045802,-0.045802,-0.030534,-0.410871,-6.647489,-25526.859375,-25486.417969
{plotter}19742.312500,13920.254883,-27899.091797,0.055908,-0.005493,0.478394,0.015267,-0.061069,0.030534,-0.420522,-6.649340,-25526.146484,-25486.982422
{plotter}19744.083984,13912.880859,-27891.435547,0.054688,-0.003296,0.477051,0.000000,-0.015267,0.030534,-0.419610,-6.645166,-25519.730469,-25487.076172
{plotter}19740.455078,13920.475586,-27894.187500,0.055908,-0.004639,0.475708,-0.030534,0.030534,0.015267,-0.425821,-6.646775,-25523.775391,-25487.480469
{plotter}19742.783203,13922.907227,-27897.953125,0.055664,-0.003052,0.477539,0.015267,0.000000,0.015267,-0.423169,-6.646763,-25526.636719,-25488.089844
{plotter}19745.279297,13922.098633,-27899.494141,0.053833,-0.002197,0.474243,0.000000,0.015267,0.015267,-0.416897,-6.639549,-25529.259766,-25488.876953
{plotter}19738.386719,13919.602539,-27903.058594,0.055786,-0.004761,0.477295,0.015267,0.015267,0.030534,-0.422849,-6.640224,-25534.724609,-25490.044922
{plotter}19735.724609,13921.796875,-27902.109375,0.054932,-0.004150,0.475464,0.000000,-0.015267,-0.061069,-0.425803,-6.638453,-25535.515625,-25491.234375
{plotter}19736.291016,13923.298828,-27898.574219,0.057129,-0.002563,0.472656,0.015267,-0.045802,0.061069,-0.421045,-6.649410,-25526.449219,-25491.728516
{plotter}19742.255859,13918.560547,-27899.089844,0.052124,-0.005981,0.470703,0.045802,0.000000,-0.030534,-0.432352,-6.636099,-25534.230469,-25492.777344
{plotter}19743.501953,13918.295898,-27904.980469,0.052979,-0.003906,0.463867,0.152672,0.015267,-0.030534,-0.431243,-6.630888,-25541.751953,-25494.337891
{plotter}19735.763672,13912.099609,-27902.240234,0.055054,-0.001831,0.487793,0.152672,-0.061069,0.015267,-0.419588,-6.624360,-25539.708984,-25495.691406
{plotter}19742.871094,13917.821289,-27903.335938,0.057129,-0.004761,0.481201,-0.183206,0.000000,-0.015267,-0.429114,-6.630117,-25539.988281,-25497.015625
{plotter}19744.587891,13916.975586,-27896.929688,0.054199,-0.005371,0.458374,-0.091603,0.106870,0.015267,-0.440300,-6.632239,-25535.232422,-25497.945312
{plotter}19743.134766,13918.461914,-27901.277344,0.055664,-0.003052,0.478394,0.122137,-0.061069,0.030534,-0.434947,-6.633557,-25537.931641,-25499.037109
{plotter}19743.210938,13921.585938,-27910.208984,0.055176,-0.003784,0.473633,0.091603,0.000000,0.015267,-0.434075,-6.633911,-25546.470703,-25500.705078
{plotter}19752.802734,13921.589844,-27905.810547,0.056152,-0.003906,0.476929,0.122137,0.015267,-0.015267,-0.433018,-6.636760,-25539.605469,-25501.808594
{plotter}19742.521484,13916.859375,-27902.203125,0.053955,-0.004883,0.477905,0.030534,0.000000,-0.030534,-0.438449,-6.628856,-25541.615234,-25503.011719
{plotter}19745.925781,13919.605469,-27902.580078,0.055786,-0.002930,0.471313,0.000000,-0.030534,-0.045802,-0.435067,-6.634246,-25538.666016,-25503.953125
{plotter}19742.320312,13919.493164,-27907.251953,0.055664,-0.005127,0.480591,0.122137,-0.015267,0.061069,-0.439831,-6.633349,-25545.210938,-25505.328125
{plotter}19746.707031,13917.565430,-27904.632812,0.058228,-0.000854,0.479126,-0.045802,-0.045802,0.000000,-0.427266,-6.646019,-25534.050781,-25505.833984
{plotter}19746.439453,13913.094727,-27907.031250,0.053467,-0.003418,0.479004,0.061069,0.000000,0.000000,-0.425325,-6.634852,-25540.423828,-25506.779297
{plotter}19742.341797,13910.092773,-27905.074219,0.058105,-0.002930,0.476318,-0.030534,0.000000,-0.015267,-0.423001,-6.647577,-25533.304688,-25507.167969
{plotter}19742.779297,13914.970703,-27907.677734,0.056641,-0.003174,0.477539,0.106870,-0.061069,0.030534,-0.419266,-6.653373,-25532.673828,-25507.490234
{plotter}19747.089844,13912.213867,-27908.593750,0.053345,-0.002808,0.475464,0.091603,-0.015267,0.015267,-0.414251,-6.643517,-25535.806641,-25508.025391
{plotter}19750.244141,13909.439453,-27910.652344,0.056641,-0.005249,0.480469,0.000000,0.000000,-0.030534,-0.422666,-6.646618,-25538.226562,-25508.710938
{plotter}19742.511719,13909.951172,-27905.648438,0.056885,-0.006104,0.476685,0.030534,0.030534,-0.076336,-0.434332,-6.652262,-25534.675781,-25509.107422
{plotter}19746.441406,13911.963867,-27905.212891,0.056152,-0.005005,0.475952,-0.015267,-0.030534,-0.030534,-0.441314,-6.655836,-25534.035156,-25509.439453
{plotter}19741.394531,13914.297852,-27903.222656,0.053711,-0.004517,0.477905,-0.015267,-0.030534,0.030534,-0.445723,-6.646615,-25537.384766,-25509.996094
{plotter}19745.160156,13913.823242,-27907.445312,0.053711,-0.002197,0.473877,0.061069,-0.030534,-0.015267,-0.437285,-6.639938,-25541.798828,-25510.845703
{plotter}19752.669922,13914.069336,-27909.927734,0.057495,-0.002075,0.477173,0.000000,0.015267,-0.015267,-0.429751,-6.648775,-25538.083984,-25511.384766
{plotter}19745.578125,13910.115234,-27905.228516,0.054565,-0.002075,0.478149,-0.106870,-0.366412,0.015267,-0.424711,-6.650482,-25532.330078,-25511.482422
{plotter}19743.029297,13914.816406,-27906.044922,0.055664,-0.006592,0.477783,-0.061069,-0.045802,0.045802,-0.440692,-6.651080,-25537.027344,-25511.912109
{plotter}19742.843750,13915.878906,-27902.208984,0.055786,-0.004883,0.476318,-0.015267,-0.091603,0.030534,-0.446959,-6.653967,-25533.583984,-25512.070312
{plotter}19742.355469,13914.524414,-27906.945312,0.058228,-0.003540,0.478394,0.000000,-0.183206,0.045802,-0.446173,-6.668954,-25532.167969,-25512.115234
{plotter}19741.841797,13913.122070,-27909.494141,0.052368,-0.004639,0.477051,0.045802,0.152672,0.061069,-0.449862,-6.649619,-25543.335938,-25512.962891
{plotter}19748.726562,13916.206055,-27907.455078,0.052246,-0.001709,0.477173,-0.015267,0.030534,-0.061069,-0.440254,-6.632886,-25544.933594,-25513.888672
{plotter}19743.248047,13914.813477,-27906.595703,0.054810,-0.002808,0.475830,0.000000,0.091603,-0.030534,-0.436116,-6.628487,-25545.474609,-25514.808594
{plotter}19750.595703,13916.921875,-27904.107422,0.053955,-0.004761,0.478027,0.000000,0.152672,0.030534,-0.441588,-6.617785,-25547.736328,-25515.849609
{plotter}19747.271484,13917.135742,-27909.607422,0.058350,-0.002197,0.473267,-0.045802,-0.015267,0.000000,-0.435508,-6.634438,-25545.500000,-25516.675781
{plotter}19748.544922,13914.143555,-27908.369141,0.055176,-0.003418,0.476318,0.030534,-0.213740,-0.061069,-0.433807,-6.637557,-25542.451172,-25517.240234
{plotter}19744.990234,13916.676758,-27910.216797,0.060913,-0.001831,0.473145,0.076336,-0.442748,0.030534,-0.423913,-6.674260,-25527.722656,-25516.707031
{plotter}19744.640625,13911.237305,-27905.011719,0.057129,-0.000366,0.475830,-0.076336,0.137405,-0.030534,-0.410197,-6.678320,-25517.675781,-25515.458984
{plotter}19742.156250,13909.976562,-27907.759766,0.052490,-0.001831,0.475220,0.045802,0.076336,0.045802,-0.401824,-6.661694,-25525.328125,-25514.814453
{plotter}19743.816406,13916.125977,-27910.492188,0.054810,-0.003906,0.476562,-0.061069,-0.152672,-0.030534,-0.405707,-6.660621,-25529.242188,-25514.476562
{plotter}19748.910156,13915.038086,-27912.437500,0.057861,-0.005615,0.480347,-0.045802,0.030534,0.000000,-0.417199,-6.668232,-25530.269531,-25514.226562
{plotter}19746.572266,13908.209961,-27911.824219,0.057495,-0.003296,0.476318,-0.076336,0.244275,0.015267,-0.417944,-6.671839,-25528.625000,-25513.865234
